Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,0.0,75.0,1.0,0.0
20260419172130,0,0,1,0,4,3.0,73.0,5.0,0.0
20260419172600,0,0,1,0,4,4.0,74.0,6.0,0.0
20260419172630,0,0,1,0,4,2.0,67.0,3.0,0.0
20260419173000,0,0,1,0,4,0.0,79.0,1.0,0.0
20260419173030,0,0,1,0,4,2.0,77.0,3.0,0.0
20260419173600,0,0,1,0,4,1.0,68.0,2.0,0.0
20260419173630,0,0,1,0,4,1.0,78.0,2.0,0.0
20260419174100,0,0,1,0,4,2.0,68.0,4.0,0.0
20260419174130,0,0,1,0,4,6.0,61.0,6.0,0.0
20260419174600,0,0,1,0,4,3.0,65.0,4.0,0.0
20260419174630,0,0,1,0,4,2.0,67.0,4.0,0.0
20260419175200,0,0,1,0,4,3.0,66.0,5.0,0.0
20260419175230,0,0,1,0,4,3.0,53.0,4.0,0.0
20260419175600,0,0,1,0,4,2.0,69.0,2.0,0.0
20260419175630,0,0,1,0,4,7.0,64.0,9.0,0.0
20260419180200,0,0,1,0,4,1.0,81.0,3.0,0.0
20260419180230,0,0,1,0,4,1.0,72.0,2.0,0.0
20260419180600,0,0,1,0,4,1.0,65.0,2.0,0.0
20260419180630,0,0,1,0,4,0.0,70.0,0.0,0.0
20260419181200,0,0,1,0,4,2.0,90.0,5.0,0.0
20260419181230,0,0,1,0,4,3.0,70.0,4.0,0.0
20260419181500,0,0,1,0,4,3.0,61.0,4.0,0.0
20260419181530,0,0,1,0,4,0.0,60.0,1.0,0.0
20260419182100,0,0,1,0,4,3.0,67.0,4.0,0.0
20260419182130,0,0,1,0,4,1.0,66.0,3.0,0.0
20260419182600,0,0,1,0,4,6.0,60.0,7.0,0.0
20260419182630,0,0,1,0,4,0.0,68.0,1.0,0.0
20260419183000,0,0,1,0,4,1.0,84.0,2.0,0.0
20260419183030,0,0,1,0,4,1.0,61.0,2.0,0.0
20260419183500,0,0,1,0,4,5.0,63.0,6.0,0.0
20260419183530,0,0,1,0,4,0.0,80.0,1.0,0.0
20260419184200,0,0,1,0,4,3.0,69.0,5.0,0.0
20260419184230,0,0,1,0,4,1.0,74.0,2.0,0.0
20260419184600,0,0,1,0,4,2.0,73.0,4.0,0.0
20260419184630,0,0,1,0,4,0.0,79.0,1.0,0.0
20260419184900,0,0,1,0,4,2.0,64.0,3.0,0.0
20260419184930,0,0,1,0,4,3.0,67.0,5.0,0.0
