Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,6.7,76.7,6.7,0.0
20260419172130,0,0,1,0,4,3.7,72.3,4.3,0.0
20260419172600,0,0,1,0,4,4.3,77.3,6.3,0.0
20260419172630,0,0,1,0,4,2.7,72.7,3.3,0.0
20260419173000,0,0,1,0,4,5.7,73.7,7.0,0.0
20260419173030,0,0,1,0,4,4.3,75.7,5.3,0.0
20260419173600,0,0,1,0,4,2.3,76.7,4.3,0.0
20260419173630,0,0,1,0,4,2.3,75.3,4.3,0.0
20260419174100,0,0,1,0,4,5.7,70.0,6.0,0.0
20260419174130,0,0,1,0,4,5.3,67.3,7.3,0.0
20260419174600,0,0,1,0,4,3.7,75.0,4.3,0.0
20260419174630,0,0,1,0,4,2.7,81.3,4.0,0.0
20260419175200,0,0,1,0,4,3.7,74.0,5.0,0.0
20260419175230,0,0,1,0,4,3.7,74.7,5.3,0.0
20260419175600,0,0,1,0,4,4.7,76.7,5.7,0.0
20260419175630,0,0,1,0,4,4.0,80.3,6.0,0.0
20260419180200,0,0,1,0,4,2.7,71.0,3.7,0.0
20260419180230,0,0,1,0,4,4.3,71.3,6.7,0.0
20260419180600,0,0,1,0,4,5.3,73.0,7.0,0.0
20260419180630,0,0,1,0,4,4.7,78.0,5.7,0.0
20260419181200,0,0,1,0,4,4.0,80.0,6.7,0.0
20260419181230,0,0,1,0,4,4.3,83.7,6.3,0.0
20260419181500,0,0,1,0,4,5.3,72.7,7.0,0.0
20260419181530,0,0,1,0,4,8.3,64.3,8.3,0.0
20260419182100,0,0,1,0,4,4.0,69.0,5.3,0.0
20260419182130,0,0,1,0,4,3.0,79.0,4.3,0.0
20260419182600,0,0,1,0,4,2.3,74.7,4.7,0.0
20260419182630,0,0,1,0,4,4.7,70.0,5.7,0.0
20260419183000,0,0,1,0,4,3.7,67.7,4.0,0.0
20260419183030,0,0,1,0,4,3.0,76.0,5.3,0.0
20260419183500,0,0,1,0,4,4.7,72.3,5.7,0.0
20260419183530,0,0,1,0,4,4.3,69.7,5.0,0.0
20260419184200,0,0,1,0,4,2.3,71.3,4.0,0.0
20260419184230,0,0,1,0,4,4.3,73.0,4.7,0.0
20260419184600,0,0,1,0,4,3.0,78.0,5.0,0.0
20260419184630,0,0,1,0,4,1.7,74.7,3.0,0.0
20260419184900,0,0,1,0,4,2.3,77.7,4.3,0.0
20260419184930,0,0,1,0,4,2.3,78.0,4.0,0.0
