Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,2.0,58.7,3.3,0.0
20260419172130,0,0,1,0,4,3.3,64.3,5.7,0.0
20260419172600,0,0,1,0,4,4.7,62.7,6.7,0.0
20260419172630,0,0,1,0,4,3.3,59.0,4.3,0.0
20260419173000,0,0,1,0,4,6.7,54.3,8.3,0.0
20260419173030,0,0,1,0,4,5.3,61.3,7.0,0.0
20260419173600,0,0,1,0,4,4.7,66.7,6.0,0.0
20260419173630,0,0,1,0,4,10.7,46.0,11.7,0.0
20260419174100,0,0,1,0,4,3.0,67.3,6.0,0.0
20260419174130,0,0,1,0,4,3.3,64.7,5.3,0.0
20260419174600,0,0,1,0,4,9.0,60.3,11.3,0.0
20260419174630,0,0,1,0,4,3.0,68.0,4.3,0.0
20260419175200,0,0,1,0,4,3.3,65.3,5.0,0.0
20260419175230,0,0,1,0,4,5.3,59.3,4.3,0.0
20260419175600,0,0,1,0,4,5.3,61.7,7.3,0.0
20260419175630,0,0,1,0,4,3.0,64.7,5.0,0.0
20260419180200,0,0,1,0,4,4.3,59.3,5.7,0.0
20260419180230,0,0,1,0,4,3.3,66.0,4.7,0.0
20260419180600,0,0,1,0,4,6.0,58.7,5.7,0.0
20260419180630,0,0,1,0,4,3.3,55.0,5.3,0.0
20260419181200,0,0,1,0,4,8.0,54.0,10.3,0.0
20260419181230,0,0,1,0,4,8.0,56.7,9.7,0.0
20260419181500,0,0,1,0,4,4.7,56.7,6.3,0.0
20260419181530,0,0,1,0,4,4.7,63.0,7.7,0.0
20260419182100,0,0,1,0,4,7.7,57.0,8.3,0.0
20260419182130,0,0,1,0,4,5.0,64.0,6.3,0.0
20260419182600,0,0,1,0,4,6.3,56.0,8.3,0.0
20260419182630,0,0,1,0,4,6.7,58.3,9.3,0.0
20260419183000,0,0,1,0,4,2.0,64.0,4.7,0.0
20260419183030,0,0,1,0,4,4.7,65.7,6.3,0.0
20260419183500,0,0,1,0,4,8.0,55.7,8.3,0.0
20260419183530,0,0,1,0,4,4.0,58.7,6.3,0.0
20260419184200,0,0,1,0,4,3.7,60.3,4.7,0.0
20260419184230,0,0,1,0,4,6.0,56.3,9.3,0.0
20260419184600,0,0,1,0,4,4.7,63.0,6.7,0.0
20260419184630,0,0,1,0,4,3.7,66.7,7.0,0.0
20260419184900,0,0,1,0,4,2.7,60.3,5.0,0.0
20260419184930,0,0,1,0,4,1.0,69.0,2.7,0.0
