Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,3.7,92.7,6.7,0.0
20260419172130,0,0,1,0,4,2.7,100.3,6.3,0.0
20260419172600,0,0,1,0,4,4.7,95.0,9.3,0.0
20260419172630,0,0,1,0,4,4.3,95.3,7.7,0.0
20260419173000,0,0,1,0,4,1.7,100.3,4.0,0.0
20260419173030,0,0,1,0,4,3.3,93.7,6.3,0.0
20260419173600,0,0,1,0,4,4.3,95.7,7.3,0.0
20260419173630,0,0,1,0,4,4.7,85.0,8.3,0.0
20260419174100,0,0,1,0,4,4.7,90.3,8.0,0.0
20260419174130,0,0,1,0,4,6.0,88.7,10.0,0.0
20260419174600,0,0,1,0,4,2.3,104.0,5.3,0.0
20260419174630,0,0,1,0,4,2.3,106.0,5.0,0.0
20260419175200,0,0,1,0,4,5.0,95.7,8.0,0.0
20260419175230,0,0,1,0,4,5.7,85.3,9.7,0.0
20260419175600,0,0,1,0,4,3.7,95.0,7.0,0.0
20260419175630,0,0,1,0,4,3.0,95.0,6.0,0.0
20260419180200,0,0,1,0,4,3.3,90.3,8.0,0.0
20260419180230,0,0,1,0,4,6.3,90.3,8.7,0.0
20260419180600,0,0,1,0,4,5.3,96.0,8.0,0.0
20260419180630,0,0,1,0,4,3.7,93.3,7.3,0.0
20260419181200,0,0,1,0,4,6.0,93.0,10.0,0.0
20260419181230,0,0,1,0,4,7.0,93.7,11.0,0.0
20260419181500,0,0,1,0,4,4.0,92.7,7.7,0.0
20260419181530,0,0,1,0,4,6.0,93.3,11.3,0.0
20260419182100,0,0,1,0,4,5.0,92.7,9.7,0.0
20260419182130,0,0,1,0,4,2.3,91.3,5.0,0.0
20260419182600,0,0,1,0,4,7.7,84.3,12.7,0.0
20260419182630,0,0,1,0,4,5.7,90.7,11.3,0.0
20260419183000,0,0,1,0,4,3.3,101.0,7.0,0.0
20260419183030,0,0,1,0,4,4.7,89.7,6.3,0.0
20260419183500,0,0,1,0,4,6.0,73.3,8.7,0.0
20260419183530,0,0,1,0,4,5.0,89.7,8.7,0.0
20260419184200,0,0,1,0,4,5.7,87.0,10.0,0.0
20260419184230,0,0,1,0,4,5.7,89.3,10.7,0.0
20260419184600,0,0,1,0,4,4.3,82.7,9.7,0.0
20260419184630,0,0,1,0,4,5.0,87.0,8.7,0.0
20260419184900,0,0,1,0,4,4.7,88.3,10.0,0.0
20260419184930,0,0,1,0,4,2.7,98.0,6.0,0.0
