Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,3.0,84.5,4.0,0.0
20260419172130,0,0,1,0,4,3.5,83.5,6.5,0.0
20260419172600,0,0,1,0,4,3.0,84.5,6.0,0.0
20260419172630,0,0,1,0,4,7.5,80.5,10.5,0.0
20260419173000,0,0,1,0,4,7.5,67.5,10.5,0.0
20260419173030,0,0,1,0,4,4.0,84.0,8.0,0.0
20260419173600,0,0,1,0,4,8.5,72.0,11.0,0.0
20260419173630,0,0,1,0,4,4.0,81.0,7.0,0.0
20260419174100,0,0,1,0,4,7.5,77.0,12.0,0.0
20260419174130,0,0,1,0,4,4.0,83.0,5.5,0.0
20260419174600,0,0,1,0,4,6.5,85.5,10.0,0.0
20260419174630,0,0,1,0,4,4.5,84.0,8.5,0.0
20260419175200,0,0,1,0,4,4.0,80.0,7.5,0.0
20260419175230,0,0,1,0,4,3.0,86.5,6.0,0.0
20260419175600,0,0,1,0,4,6.5,80.5,10.0,0.0
20260419175630,0,0,1,0,4,9.5,80.0,14.0,0.0
20260419180200,0,0,1,0,4,7.0,86.0,10.0,0.0
20260419180230,0,0,1,0,4,5.0,81.0,8.0,0.0
20260419180600,0,0,1,0,4,7.5,74.5,11.0,0.0
20260419180630,0,0,1,0,4,5.0,83.5,7.5,0.0
20260419181200,0,0,1,0,4,5.0,83.5,9.0,0.0
20260419181230,0,0,1,0,4,8.0,76.0,9.0,0.0
20260419181500,0,0,1,0,4,4.0,83.0,6.0,0.0
20260419181530,0,0,1,0,4,6.0,78.5,8.5,0.0
20260419182100,0,0,1,0,4,6.5,80.0,10.0,0.0
20260419182130,0,0,1,0,4,6.0,80.0,8.0,0.0
20260419182600,0,0,1,0,4,5.0,82.0,8.5,0.0
20260419182630,0,0,1,0,4,11.0,70.0,12.0,0.0
20260419183000,0,0,1,0,4,4.0,79.0,6.5,0.0
20260419183030,0,0,1,0,4,5.5,77.0,9.0,0.0
20260419183500,0,0,1,0,4,7.5,75.0,11.5,0.0
20260419183530,0,0,1,0,4,6.0,75.5,10.0,0.0
20260419184200,0,0,1,0,4,6.0,79.0,8.5,0.0
20260419184230,0,0,1,0,4,6.5,78.5,9.5,0.0
20260419184600,0,0,1,0,4,4.0,81.5,6.5,0.0
20260419184630,0,0,1,0,4,8.0,74.5,10.5,0.0
20260419184900,0,0,1,0,4,8.0,73.5,11.5,0.0
20260419184930,0,0,1,0,4,10.5,69.0,12.5,0.0
