Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,6.7,77.0,7.0,0.0
20260419172130,0,0,1,0,4,13.0,78.0,8.3,0.0
20260419172600,0,0,1,0,4,7.7,71.7,6.7,0.0
20260419172630,0,0,1,0,4,8.3,75.7,6.0,0.0
20260419173000,0,0,1,0,4,7.3,72.7,6.3,0.0
20260419173030,0,0,1,0,4,5.0,86.0,5.7,0.0
20260419173600,0,0,1,0,4,9.7,75.7,7.3,0.0
20260419173630,0,0,1,0,4,8.3,77.0,7.0,0.0
20260419174100,0,0,1,0,4,8.3,72.3,6.7,0.0
20260419174130,0,0,1,0,4,7.3,72.0,6.3,0.0
20260419174600,0,0,1,0,4,9.3,77.7,7.0,0.0
20260419174630,0,0,1,0,4,14.3,76.3,8.7,0.0
20260419175200,0,0,1,0,4,7.0,79.7,4.7,0.0
20260419175230,0,0,1,0,4,12.7,76.0,10.7,0.0
20260419175600,0,0,1,0,4,10.0,77.3,6.7,0.0
20260419175630,0,0,1,0,4,5.7,74.7,4.7,0.0
20260419180200,0,0,1,0,4,7.3,79.7,6.3,0.0
20260419180230,0,0,1,0,4,11.0,71.0,7.0,0.0
20260419180600,0,0,1,0,4,8.3,75.3,6.0,0.0
20260419180630,0,0,1,0,4,10.3,72.3,8.0,0.0
20260419181200,0,0,1,0,4,5.0,82.7,5.0,0.0
20260419181230,0,0,1,0,4,8.7,80.7,7.0,0.0
20260419181500,0,0,1,0,4,7.3,70.3,6.3,0.0
20260419181530,0,0,1,0,4,5.0,85.7,4.0,0.0
20260419182100,0,0,1,0,4,11.3,75.0,8.7,0.0
20260419182130,0,0,1,0,4,8.0,90.3,7.0,0.0
20260419182600,0,0,1,0,4,8.7,78.0,7.7,0.0
20260419182630,0,0,1,0,4,7.3,71.0,5.0,0.0
20260419183000,0,0,1,0,4,4.3,80.0,5.0,0.0
20260419183030,0,0,1,0,4,12.3,68.0,8.7,0.0
20260419183500,0,0,1,0,4,6.0,73.3,5.3,0.0
20260419183530,0,0,1,0,4,6.7,80.7,6.7,0.0
20260419184200,0,0,1,0,4,5.0,81.0,5.7,0.0
20260419184230,0,0,1,0,4,5.0,78.0,5.3,0.0
20260419184600,0,0,1,0,4,8.0,83.7,6.7,0.0
20260419184630,0,0,1,0,4,8.3,74.7,5.7,0.0
20260419184900,0,0,1,0,4,4.0,81.3,5.0,0.0
20260419184930,0,0,1,0,4,6.0,70.0,6.7,0.0
