Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,3.7,79.0,5.7,0.0
20260419172130,0,0,1,0,4,4.3,78.0,5.7,0.0
20260419172600,0,0,1,0,4,3.3,82.3,6.0,0.0
20260419172630,0,0,1,0,4,1.3,83.0,3.0,0.0
20260419173000,0,0,1,0,4,3.0,84.3,5.3,0.0
20260419173030,0,0,1,0,4,3.3,86.0,6.3,0.0
20260419173600,0,0,1,0,4,3.7,79.3,5.3,0.0
20260419173630,0,0,1,0,4,3.0,83.7,4.3,0.0
20260419174100,0,0,1,0,4,3.7,72.0,4.3,0.0
20260419174130,0,0,1,0,4,3.3,81.3,5.7,0.0
20260419174600,0,0,1,0,4,4.7,75.7,5.7,0.0
20260419174630,0,0,1,0,4,4.3,74.7,5.3,0.0
20260419175200,0,0,1,0,4,4.7,77.3,7.3,0.0
20260419175230,0,0,1,0,4,2.3,82.7,4.7,0.0
20260419175600,0,0,1,0,4,4.7,73.3,4.7,0.0
20260419175630,0,0,1,0,4,2.0,85.7,4.0,0.0
20260419180200,0,0,1,0,4,3.7,77.7,7.0,0.0
20260419180230,0,0,1,0,4,4.0,80.0,5.7,0.0
20260419180600,0,0,1,0,4,3.3,76.7,5.3,0.0
20260419180630,0,0,1,0,4,3.7,80.0,6.0,0.0
20260419181200,0,0,1,0,4,6.0,71.7,7.0,0.0
20260419181230,0,0,1,0,4,4.0,80.7,6.7,0.0
20260419181500,0,0,1,0,4,2.7,83.7,3.3,0.0
20260419181530,0,0,1,0,4,3.0,85.7,6.0,0.0
20260419182100,0,0,1,0,4,2.7,82.7,4.7,0.0
20260419182130,0,0,1,0,4,2.7,74.0,3.0,0.0
20260419182600,0,0,1,0,4,3.3,81.0,5.3,0.0
20260419182630,0,0,1,0,4,3.0,76.3,5.7,0.0
20260419183000,0,0,1,0,4,6.0,75.3,7.3,0.0
20260419183030,0,0,1,0,4,4.0,81.3,5.3,0.0
20260419183500,0,0,1,0,4,2.0,80.7,4.3,0.0
20260419183530,0,0,1,0,4,5.3,74.0,6.7,0.0
20260419184200,0,0,1,0,4,2.7,80.3,5.3,0.0
20260419184230,0,0,1,0,4,6.0,69.3,8.0,0.0
20260419184600,0,0,1,0,4,5.0,70.3,7.7,0.0
20260419184630,0,0,1,0,4,2.0,76.0,4.3,0.0
20260419184900,0,0,1,0,4,3.0,93.3,5.0,0.0
20260419184930,0,0,1,0,4,5.0,80.0,6.0,0.0
