Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,0.0,63.5,1.0,0.0
20260419172130,0,0,1,0,4,2.5,57.5,4.0,0.0
20260419172600,0,0,1,0,4,3.0,63.0,3.0,0.0
20260419172630,0,0,1,0,4,6.0,65.0,6.5,0.0
20260419173000,0,0,1,0,4,7.0,55.5,7.0,0.0
20260419173030,0,0,1,0,4,3.0,68.5,5.0,0.0
20260419173600,0,0,1,0,4,6.5,63.0,6.0,0.0
20260419173630,0,0,1,0,4,1.5,74.0,2.0,0.0
20260419174100,0,0,1,0,4,3.5,59.5,4.0,0.0
20260419174130,0,0,1,0,4,5.5,63.0,6.0,0.0
20260419174600,0,0,1,0,4,4.0,63.0,6.0,0.0
20260419174630,0,0,1,0,4,7.0,56.0,7.5,0.0
20260419175200,0,0,1,0,4,7.0,54.5,6.5,0.0
20260419175230,0,0,1,0,4,5.5,56.5,5.5,0.0
20260419175600,0,0,1,0,4,5.0,53.5,5.5,0.0
20260419175630,0,0,1,0,4,5.5,57.5,7.0,0.0
20260419180200,0,0,1,0,4,3.5,59.0,5.5,0.0
20260419180230,0,0,1,0,4,2.5,61.0,4.5,0.0
20260419180600,0,0,1,0,4,2.0,69.5,4.0,0.0
20260419180630,0,0,1,0,4,4.0,65.5,6.0,0.0
20260419181200,0,0,1,0,4,4.5,61.0,5.5,0.0
20260419181230,0,0,1,0,4,4.5,68.5,5.0,0.0
20260419181500,0,0,1,0,4,2.5,69.0,4.5,0.0
20260419181530,0,0,1,0,4,4.5,66.5,7.5,0.0
20260419182100,0,0,1,0,4,6.0,59.0,4.0,0.0
20260419182130,0,0,1,0,4,5.0,53.0,7.0,0.0
20260419182600,0,0,1,0,4,3.5,61.0,5.0,0.0
20260419182630,0,0,1,0,4,4.0,58.5,3.0,0.0
20260419183000,0,0,1,0,4,4.5,63.0,5.5,0.0
20260419183030,0,0,1,0,4,3.0,58.5,3.0,0.0
20260419183500,0,0,1,0,4,3.5,67.0,6.0,0.0
20260419183530,0,0,1,0,4,1.5,67.5,3.0,0.0
20260419184200,0,0,1,0,4,2.5,62.5,4.0,0.0
20260419184230,0,0,1,0,4,5.5,59.0,4.5,0.0
20260419184600,0,0,1,0,4,4.0,63.5,4.5,0.0
20260419184630,0,0,1,0,4,1.5,78.5,3.5,0.0
20260419184900,0,0,1,0,4,3.0,57.5,3.5,0.0
20260419184930,0,0,1,0,4,2.0,62.0,3.5,0.0
