Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,1.0,62.0,0.5,0.0
20260419172130,0,0,1,0,4,3.0,66.0,2.5,0.0
20260419172600,0,0,1,0,4,0.0,70.0,0.5,0.0
20260419172630,0,0,1,0,4,5.5,71.0,3.5,0.0
20260419173000,0,0,1,0,4,7.5,51.5,4.5,0.0
20260419173030,0,0,1,0,4,11.5,73.5,3.5,0.0
20260419173600,0,0,1,0,4,0.5,64.0,1.0,0.0
20260419173630,0,0,1,0,4,2.5,64.5,2.0,0.0
20260419174100,0,0,1,0,4,1.0,40.0,1.0,0.0
20260419174130,0,0,1,0,4,5.5,65.5,3.0,0.0
20260419174600,0,0,1,0,4,3.0,70.5,1.5,0.0
20260419174630,0,0,1,0,4,5.5,62.0,4.0,0.0
20260419175200,0,0,1,0,4,7.5,57.5,5.0,0.0
20260419175230,0,0,1,0,4,7.0,51.0,2.0,0.0
20260419175600,0,0,1,0,4,0.0,70.0,0.0,0.0
20260419175630,0,0,1,0,4,4.5,48.5,2.0,0.0
20260419180200,0,0,1,0,4,5.5,50.0,3.0,0.0
20260419180230,0,0,1,0,4,0.0,70.0,0.0,0.0
20260419180600,0,0,1,0,4,4.0,48.5,2.5,0.0
20260419180630,0,0,1,0,4,6.5,67.5,3.5,0.0
20260419181200,0,0,1,0,4,5.5,72.5,2.5,0.0
20260419181230,0,0,1,0,4,0.0,56.5,0.5,0.0
20260419181500,0,0,1,0,4,5.0,51.5,4.0,0.0
20260419181530,0,0,1,0,4,4.5,66.0,1.0,0.0
20260419182100,0,0,1,0,4,3.0,56.0,1.0,0.0
20260419182130,0,0,1,0,4,6.0,58.5,4.5,0.0
20260419182600,0,0,1,0,4,6.0,60.0,1.5,0.0
20260419182630,0,0,1,0,4,3.5,63.0,2.0,0.0
20260419183000,0,0,1,0,4,6.0,56.5,5.0,0.0
20260419183030,0,0,1,0,4,1.5,73.0,1.5,0.0
20260419183500,0,0,1,0,4,3.5,66.5,3.0,0.0
20260419183530,0,0,1,0,4,15.5,41.0,6.0,0.0
20260419184200,0,0,1,0,4,9.5,66.0,5.0,0.0
20260419184230,0,0,1,0,4,6.5,64.5,2.0,0.0
20260419184600,0,0,1,0,4,0.5,66.0,0.5,0.0
20260419184630,0,0,1,0,4,7.0,65.5,4.5,0.0
20260419184900,0,0,1,0,4,5.5,60.0,3.5,0.0
20260419184930,0,0,1,0,4,2.5,76.0,1.5,0.0
