Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,4.3,72.0,7.3,0.0
20260419172130,0,0,1,0,4,2.7,76.0,4.7,0.0
20260419172600,0,0,1,0,4,5.7,69.0,8.7,0.0
20260419172630,0,0,1,0,4,3.3,75.0,6.0,0.0
20260419173000,0,0,1,0,4,3.7,69.7,7.0,0.0
20260419173030,0,0,1,0,4,3.3,71.3,5.3,0.0
20260419173600,0,0,1,0,4,4.7,76.3,8.0,0.0
20260419173630,0,0,1,0,4,6.7,71.0,9.3,0.0
20260419174100,0,0,1,0,4,5.0,69.3,7.3,0.0
20260419174130,0,0,1,0,4,4.3,77.0,8.3,0.0
20260419174600,0,0,1,0,4,4.3,69.7,6.7,0.0
20260419174630,0,0,1,0,4,4.0,75.0,7.3,0.0
20260419175200,0,0,1,0,4,4.7,72.3,7.3,0.0
20260419175230,0,0,1,0,4,2.3,76.7,4.7,0.0
20260419175600,0,0,1,0,4,4.0,75.3,6.3,0.0
20260419175630,0,0,1,0,4,6.7,66.0,7.0,0.0
20260419180200,0,0,1,0,4,5.7,73.0,9.7,0.0
20260419180230,0,0,1,0,4,4.0,78.3,7.3,0.0
20260419180600,0,0,1,0,4,3.7,73.7,6.0,0.0
20260419180630,0,0,1,0,4,4.3,69.7,8.3,0.0
20260419181200,0,0,1,0,4,4.3,74.7,8.0,0.0
20260419181230,0,0,1,0,4,4.7,74.7,8.7,0.0
20260419181500,0,0,1,0,4,4.7,69.0,7.7,0.0
20260419181530,0,0,1,0,4,5.0,73.0,8.3,0.0
20260419182100,0,0,1,0,4,5.7,67.7,9.7,0.0
20260419182130,0,0,1,0,4,5.7,71.3,9.7,0.0
20260419182600,0,0,1,0,4,5.7,75.0,9.0,0.0
20260419182630,0,0,1,0,4,4.7,68.3,9.7,0.0
20260419183000,0,0,1,0,4,4.7,73.0,8.3,0.0
20260419183030,0,0,1,0,4,3.7,70.0,7.0,0.0
20260419183500,0,0,1,0,4,5.0,69.7,10.7,0.0
20260419183530,0,0,1,0,4,5.7,64.3,8.7,0.0
20260419184200,0,0,1,0,4,5.7,71.3,10.3,0.0
20260419184230,0,0,1,0,4,3.3,70.7,6.0,0.0
20260419184600,0,0,1,0,4,5.7,69.3,10.3,0.0
20260419184630,0,0,1,0,4,3.0,71.0,5.0,0.0
20260419184900,0,0,1,0,4,3.0,77.0,6.0,0.0
20260419184930,0,0,1,0,4,3.7,70.3,7.0,0.0
