Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,5.0,83.0,6.3,0.0
20260419172130,0,0,1,0,4,2.3,89.3,7.0,0.0
20260419172600,0,0,1,0,4,4.0,88.7,8.7,0.0
20260419172630,0,0,1,0,4,2.7,90.3,6.7,0.0
20260419173000,0,0,1,0,4,5.0,86.0,7.7,0.04
20260419173030,0,0,1,0,4,1.3,87.0,2.7,0.04
20260419173600,0,0,1,0,4,5.3,84.7,8.0,0.04
20260419173630,0,0,1,0,4,5.3,77.0,8.7,0.04
20260419174100,0,0,1,0,4,2.0,87.7,5.7,0.0
20260419174130,0,0,1,0,4,1.7,83.0,4.0,0.0
20260419174600,0,0,1,0,4,3.3,83.0,7.0,0.0
20260419174630,0,0,1,0,4,4.0,87.0,5.0,0.0
20260419175200,0,0,1,0,4,2.7,89.7,6.3,0.0
20260419175230,0,0,1,0,4,3.7,100.3,6.7,0.0
20260419175600,0,0,1,0,4,1.3,86.7,4.3,0.0
20260419175630,0,0,1,0,4,2.7,93.3,6.0,0.0
20260419180200,0,0,1,0,4,5.7,88.0,9.7,0.0
20260419180230,0,0,1,0,4,4.0,91.3,6.7,0.0
20260419180600,0,0,1,0,4,5.3,81.3,7.7,0.0
20260419180630,0,0,1,0,4,3.7,89.3,7.0,0.0
20260419181200,0,0,1,0,4,5.7,79.7,8.3,0.0
20260419181230,0,0,1,0,4,3.3,85.0,6.0,0.0
20260419181500,0,0,1,0,4,3.7,89.0,5.7,0.0
20260419181530,0,0,1,0,4,2.3,87.3,5.7,0.0
20260419182100,0,0,1,0,4,3.0,91.3,7.0,0.0
20260419182130,0,0,1,0,4,2.3,94.7,5.3,0.0
20260419182600,0,0,1,0,4,3.0,91.7,6.7,0.0
20260419182630,0,0,1,0,4,2.0,88.3,5.7,0.0
20260419183000,0,0,1,0,4,3.7,80.0,6.7,0.0
20260419183030,0,0,1,0,4,3.0,90.3,5.7,0.0
20260419183500,0,0,1,0,4,5.0,85.7,9.0,0.0
20260419183530,0,0,1,0,4,1.7,95.3,5.0,0.0
20260419184200,0,0,1,0,4,1.7,85.3,4.7,0.0
20260419184230,0,0,1,0,4,2.0,82.0,4.7,0.0
20260419184600,0,0,1,0,4,2.7,82.0,5.7,0.0
20260419184630,0,0,1,0,4,5.3,87.0,10.3,0.0
20260419184900,0,0,1,0,4,2.7,90.0,6.3,0.0
20260419184930,0,0,1,0,4,3.0,86.0,6.0,0.0
