Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,3.0,45.0,2.0,0.0
20260419172130,0,0,1,0,4,8.0,28.0,2.0,0.0
20260419172600,0,0,1,0,4,3.0,48.0,2.0,0.0
20260419172630,0,0,1,0,4,0.0,50.0,0.0,0.0
20260419173000,0,0,1,0,4,4.0,45.0,2.0,0.0
20260419173030,0,0,1,0,4,1.0,48.0,1.0,0.0
20260419173600,0,0,1,0,4,5.0,48.0,3.0,0.0
20260419173630,0,0,1,0,4,4.0,45.0,2.0,0.0
20260419174100,0,0,1,0,4,4.0,58.0,2.0,0.0
20260419174130,0,0,1,0,4,2.0,47.0,1.0,0.0
20260419174600,0,0,1,0,4,5.0,16.0,1.0,0.0
20260419174630,0,0,1,0,4,5.0,53.0,3.0,0.0
20260419175200,0,0,1,0,4,2.0,38.0,1.0,0.0
20260419175230,0,0,1,0,4,3.0,45.0,2.0,0.0
20260419175600,0,0,1,0,4,5.0,42.0,2.0,0.0
20260419175630,0,0,1,0,4,2.0,42.0,2.0,0.0
20260419180200,0,0,1,0,4,0.0,50.0,0.0,0.0
20260419180230,0,0,1,0,4,0.0,50.0,0.0,0.0
20260419180600,0,0,1,0,4,12.0,25.0,3.0,0.0
20260419180630,0,0,1,0,4,11.0,38.0,4.0,0.0
20260419181200,0,0,1,0,4,2.0,38.0,1.0,0.0
20260419181230,0,0,1,0,4,10.0,41.0,5.0,0.0
20260419181500,0,0,1,0,4,5.0,47.0,2.0,0.0
20260419181530,0,0,1,0,4,15.0,19.0,3.0,0.0
20260419182100,0,0,1,0,4,2.0,57.0,1.0,0.0
20260419182130,0,0,1,0,4,1.0,55.0,1.0,0.0
20260419182600,0,0,1,0,4,7.0,18.0,2.0,0.0
20260419182630,0,0,1,0,4,1.0,43.0,1.0,0.0
20260419183000,0,0,1,0,4,0.0,50.0,0.0,0.0
20260419183030,0,0,1,0,4,3.0,18.0,1.0,0.0
20260419183500,0,0,1,0,4,1.0,47.0,1.0,0.0
20260419183530,0,0,1,0,4,2.0,51.0,1.0,0.0
20260419184200,0,0,1,0,4,4.0,29.0,2.0,0.0
20260419184230,0,0,1,0,4,6.0,41.0,3.0,0.0
20260419184600,0,0,1,0,4,0.0,50.0,0.0,0.0
20260419184630,0,0,1,0,4,0.0,50.0,0.0,0.0
20260419184900,0,0,1,0,4,7.0,32.0,3.0,0.0
20260419184930,0,0,1,0,4,6.0,47.0,2.0,0.0
