Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,6.3,85.3,4.0,0.0
20260419172130,0,0,1,0,4,5.3,94.0,4.7,0.0
20260419172600,0,0,1,0,4,5.7,91.7,4.3,0.0
20260419172630,0,0,1,0,4,8.7,81.0,7.3,0.0
20260419173000,0,0,1,0,4,6.3,87.0,3.7,0.0
20260419173030,0,0,1,0,4,9.3,91.3,5.0,0.0
20260419173600,0,0,1,0,4,3.7,100.0,3.7,0.0
20260419173630,0,0,1,0,4,9.7,84.0,6.0,0.0
20260419174100,0,0,1,0,4,4.3,78.7,2.7,0.0
20260419174130,0,0,1,0,4,9.3,84.3,5.0,0.0
20260419174600,0,0,1,0,4,10.7,81.0,6.3,0.0
20260419174630,0,0,1,0,4,6.3,83.0,5.7,0.0
20260419175200,0,0,1,0,4,5.0,93.7,5.0,0.0
20260419175230,0,0,1,0,4,7.3,85.7,6.3,0.0
20260419175600,0,0,1,0,4,6.3,85.0,5.7,0.0
20260419175630,0,0,1,0,4,5.3,84.0,3.7,0.0
20260419180200,0,0,1,0,4,7.0,87.3,7.0,0.0
20260419180230,0,0,1,0,4,6.0,78.7,5.3,0.0
20260419180600,0,0,1,0,4,5.3,85.0,4.3,0.0
20260419180630,0,0,1,0,4,10.0,91.0,7.7,0.0
20260419181200,0,0,1,0,4,11.0,91.0,5.7,0.0
20260419181230,0,0,1,0,4,5.7,88.7,6.0,0.0
20260419181500,0,0,1,0,4,6.0,89.3,4.7,0.0
20260419181530,0,0,1,0,4,5.0,88.7,5.7,0.0
20260419182100,0,0,1,0,4,5.3,92.7,5.0,0.0
20260419182130,0,0,1,0,4,8.0,82.7,5.7,0.0
20260419182600,0,0,1,0,4,2.7,77.7,3.0,0.0
20260419182630,0,0,1,0,4,5.0,100.3,4.0,0.0
20260419183000,0,0,1,0,4,7.7,83.7,5.3,0.0
20260419183030,0,0,1,0,4,10.7,77.3,7.0,0.0
20260419183500,0,0,1,0,4,5.0,88.0,5.0,0.0
20260419183530,0,0,1,0,4,5.0,86.0,4.0,0.0
20260419184200,0,0,1,0,4,6.0,96.0,5.0,0.0
20260419184230,0,0,1,0,4,9.0,85.7,6.7,0.0
20260419184600,0,0,1,0,4,3.7,96.0,3.3,0.0
20260419184630,0,0,1,0,4,5.0,78.3,3.3,0.0
20260419184900,0,0,1,0,4,5.3,88.0,5.7,0.0
20260419184930,0,0,1,0,4,3.7,100.0,3.7,0.0
